                                     Institute                                                                                                                                              Academic Program Name Quota     Seat Type                                Gender Opening Rank Closing Rank
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI          OPEN                        Gender-Neutral        11393        12509
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI          OPEN Female-only (including Supernumerary)        15005        21401
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral         1886         1886
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)         3840         3840
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral         4110         4916
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         8967         8967
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral         2377         2560
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral         277P         277P
   Indian Institute  of Technology Bhubaneswar                                                                                          Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)         968P         968P
   Indian Institute  of Technology Bhubaneswar                                                                 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN                        Gender-Neutral        13082        13875
   Indian Institute  of Technology Bhubaneswar                                                                 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN Female-only (including Supernumerary)        24380        24380
   Indian Institute  of Technology Bhubaneswar                                                                 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS                        Gender-Neutral         2053         2053
   Indian Institute  of Technology Bhubaneswar                                                                 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS Female-only (including Supernumerary)         3646         3646
   Indian Institute  of Technology Bhubaneswar                                                                 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL                        Gender-Neutral         4979         5260
   Indian Institute  of Technology Bhubaneswar                                                                 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC                        Gender-Neutral         2712         2712
   Indian Institute  of Technology Bhubaneswar                                                                 Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            ST                        Gender-Neutral         610P         610P
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI          OPEN                        Gender-Neutral          123         2118
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI          OPEN Female-only (including Supernumerary)          702         4419
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI    OPEN (PwD)                        Gender-Neutral            7            7
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral          342          476
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)          931         1501
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral          389         1149
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         1618         2505
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI OBC-NCL (PwD)                        Gender-Neutral          62P          62P
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral          402          589
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI            SC Female-only (including Supernumerary)          136          395
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI      SC (PwD)                        Gender-Neutral          13P          13P
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral          305          504
        Indian Institute  of Technology Bombay                                                                                                            Aerospace Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)          887          887
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI          OPEN                        Gender-Neutral          198         1944
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI          OPEN Female-only (including Supernumerary)         5154         6027
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI           EWS                        Gender-Neutral          424          451
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI       OBC-NCL                        Gender-Neutral         1379         1610
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI       OBC-NCL Female-only (including Supernumerary)         3699         3699
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI            SC                        Gender-Neutral          644          702
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI            SC Female-only (including Supernumerary)         2056         2056
        Indian Institute  of Technology Bombay                                                                                                                   BS in Mathematics (4 Years, Bachelor of Science)    AI            ST                        Gender-Neutral           85           85
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI          OPEN                        Gender-Neutral         1266         2213
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI          OPEN Female-only (including Supernumerary)         2719         4709
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI    OPEN (PwD)                        Gender-Neutral           88          164
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral          320          413
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)         1258         1321
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI     EWS (PwD)                        Gender-Neutral          11P          11P
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral          818         1318
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         2730         3546
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral          468          831
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI            SC Female-only (including Supernumerary)          927         1310
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral          241          431
        Indian Institute  of Technology Bombay                                                                                                             Chemical Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)          439          522
